host_wall_timestamp_ns,host_monotonic_ns,host_receive_index,sample_index,session_sample_index,generation,connection_generation,device_packet_sequence,device_sample_counter,device_time_ticks,sample_in_packet,action_label,action_phase,sample_rate_hz,device_id,session_id,quality_flags,sample_rate_source_kind,sample_rate_evidence_ref,sample_rate_confirmed,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
1700000000000000000,10000000000,1,0,0,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,-4.727039035053865,-4.810215010930211,-4.893390986806558,-4.976566962682904,-5.0597429385592525,-5.142918914435598,-5.226094890311945,-5.3092708661882915
1700000000005000000,10005000000,2,1,1,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,4.905159717548084,5.062576147590268,5.22003162654777,5.3775145344353925,5.535017439510266,5.692535369443435,5.8500648726710995,6.007603478777342
1700000000010000000,10010000000,3,2,2,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,-4.663527267960971,-4.745530299301702,-4.827459003871741,-4.909334930410407,-4.991172085298035,-5.072979947215534,-5.154765151119807,-5.236532476068655
1700000000015000000,10015000000,4,3,3,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,4.966624504835767,5.125193231233843,5.283864172568091,5.442609147323888,5.601409253989777,5.760251424164112,5.919126368530335,6.07802731922239
1700000000020000000,10020000000,5,4,4,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,-4.604650181572895,-4.685515731413103,-4.766261886256523,-4.8469187295613825,-4.927507624498447,-5.008043892201832,-5.08853870092991,-5.1690003368338955
1700000000025000000,10025000000,6,5,5,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,5.02239626181318,5.182092592641833,5.3419119108411826,5.5018281494405405,5.6618205708050695,5.821873313832179,5.981974331748029,6.142114430419992
1700000000030000000,10030000000,7,6,6,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,-4.5524733757185425,-4.632217570004026,-4.711851087807813,-4.791389189338809,-4.8708483749954254,-4.95024301515522,-5.029584837542077,-5.108883208459831
1700000000035000000,10035000000,8,7,7,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,5.070521136450869,5.2313345222902194,5.392228726694397,5.553206585470376,5.714259817138551,5.8753778208870076,6.036550548912321,6.19776930664432
1700000000040000000,10040000000,9,8,8,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,-4.5088204656690145,-4.587451952320307,-4.666050910325341,-4.7445890359993115,-4.823062215642206,-4.901474833617532,-4.979833772785823,-5.058146124254562
1700000000045000000,10045000000,10,9,9,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,5.109322924275971,5.271242377848452,5.433127575216699,5.595039297926052,5.7569982344880355,5.919008743352325,6.081068672055426,6.243173529703198
1700000000050000000,10050000000,11,10,10,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,-4.4752045708681205,-4.552741345479082,-4.630396859703135,-4.70807166190615,-4.7857245071665835,-4.863339783303862,-4.940913313939138,-5.018445952945629
1700000000055000000,10055000000,12,11,11,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,5.137465598545019,5.300461171127508,5.463237487512287,5.625937594185076,5.788626870446133,5.951334578644135,6.114072805204066,6.27684538341968
1700000000060000000,10060000000,13,12,12,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,-4.4527724307210335,-4.529261452873832,-4.60608376525648,-4.683049494940681,-4.7600661574380005,-4.837088659012757,-4.914095491261507,-4.991077098269851
1700000000065000000,10065000000,14,13,13,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,5.154001964435568,5.318004684445634,5.481549881752653,5.644875410018323,5.808103027469529,5.971295525275681,6.1344852236981,6.297688393158467
1700000000070000000,10070000000,15,14,14,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,-4.442263476354252,-4.517800502419331,-4.593925434536693,-4.670353687119311,-4.746933042271745,-4.823581557157786,-4.900254884284807,-4.976929119633369
1700000000075000000,10075000000,16,15,15,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,5.158406459542281,5.323289411012532,5.487452597486063,5.6512234324866935,5.814784637366972,5.978238258238425,6.141641659664223,6.305027196476034
1700000000080000000,10080000000,17,16,16,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,-4.443985460898737,-4.518732380171822,-4.594327220674447,-4.670406464967717,-4.746758119539855,-4.823259668542551,-4.899840014545136,-4.976457664984826
1700000000085000000,10085000000,18,17,17,0,0,,,,0,fist,hold,200.0,dev-0123456789abcdef0123456789abcdef,synthetic-3-fist,29,protocol,synthetic-demo-contract-v1,True,5.150590891693984,5.316154111645824,5.480750492617264,5.6447700454496115,5.808451428286244,5.971937336139612,6.135312996150491,6.29862956798832
